Solver command line: ['/projects/sems/install/rhel6-x86_64/pyomo/utility/baron/18.5.9/bin/baron', '/tmp/tmp942i3H.pyomo.bar']

===========================================================================
 BARON version 18.5.9. Built: LNX-64 Wed May 9 23:08:52 EDT 2018 

 BARON is a product of The Optimization Firm, LLC. http://www.minlp.com/
 Licensee: John Siirola at Sandia National Laboratories, jdsiiro@sandia.gov.

 If you use this software, please cite publications from
 http://www.minlp.com/about-baron, such as: 

 Kilinc, M. and N. V. Sahinidis, Exploiting integrality in the global
 optimization of mixed-integer nonlinear programming problems in BARON,
 Optimization Methods and Software, 33, 540-562, 2018.
===========================================================================
 This BARON run may utilize the following subsolver(s)
 For LP/MIP: ILOG CPLEX                                      
 For NLP: IPOPT, FILTERSD, FILTERSQP
===========================================================================
 Doing local search
 Preprocessing found feasible solution with value  13.6528578553     
 Solving bounding LP
 Starting multi-start local search
 Done with local search
===========================================================================
  Iteration    Open nodes         Time (s)    Lower bound      Upper bound
      16892         12273          9695.25     13.5472          13.6408    
      16953         12314          9725.43     13.5472          13.6408    
      17015         12362          9755.56     13.5472          13.6408    
      17096         12420          9807.90     13.5472          13.6408    
      17192         12490          9838.17     13.5472          13.6408    
      17196         12494          9870.20     13.5472          13.6408    
      17293+        12560          9906.15     13.5472          13.6408    
      17372         12618          9936.45     13.5472          13.6408    
      17422         12654          9966.74     13.5472          13.6408    
      17490         12705         10001.96     13.5472          13.6408    
      17585         12774         10032.05     13.5472          13.6408    
      17644         12819         10062.17     13.5472          13.6408    
      17693         12853         10092.22     13.5472          13.6408    
      17783+        12916         10127.88     13.5472          13.6408    
      17838         12959         10157.92     13.5472          13.6408    
      17881         12986         10193.35     13.5472          13.6408    
      17978+        13059         10230.86     13.5472          13.6408    
      18035         13104         10261.11     13.5472          13.6408    
      18078         13131         10299.62     13.5472          13.6408    
      18174         13202         10329.82     13.5472          13.6408    
      18221         13237         10359.84     13.5472          13.6408    
      18284         13281         10389.90     13.5472          13.6408    
      18379         13352         10448.13     13.5472          13.6408    
      18473         13421         10478.23     13.5472          13.6408    
      18531         13465         10508.36     13.5472          13.6408    
      18588         13510         10538.63     13.5472          13.6408    
      18677         13577         10577.97     13.5472          13.6408    
      18775         13645         10608.16     13.5472          13.6408    
      18827         13682         10638.21     13.5472          13.6408    
      18903         13740         10668.33     13.5472          13.6408    
      18978         13799         10698.80     13.5472          13.6408    
      19072         13867         10729.05     13.5472          13.6408    
      19106         13891         10759.16     13.5472          13.6408    
      19177         13939         10790.15     13.5472          13.6408    
      19275         14009         10820.20     13.5472          13.6408    
      19342         14063         10850.25     13.5472          13.6408    
      19403         14103         10880.47     13.5472          13.6408    
      19475         14156         10929.06     13.5472          13.6408    
      19571+        14228         10969.81     13.5472          13.6408    
      19667         14295         10999.86     13.5472          13.6408    
      19750         14354         11029.92     13.5472          13.6408    
      19809         14398         11060.20     13.5472          13.6408    
      19874         14444         11090.25     13.5472          13.6408    
      19973         14519         11132.59     13.5472          13.6408    
      20070         14590         11162.81     13.5472          13.6408    
      20133         14634         11193.02     13.5472          13.6408    
      20200         14685         11223.26     13.5472          13.6408    
      20263         14730         11256.14     13.5472          13.6408    
      20360         14807         11286.18     13.5472          13.6408    
      20403         14839         11316.41     13.5472          13.6408    
      20465         14883         11348.24     13.5472          13.6408    
      20562         14954         11378.45     13.5472          13.6408    
      20638         15003         11408.69     13.5472          13.6408    
      20714         15058         11438.71     13.5472          13.6408    
      20794         15117         11468.87     13.5472          13.6408    
      20867         15169         11499.10     13.5472          13.6408    
      20962         15240         11529.13     13.5472          13.6408    
      21032         15292         11559.26     13.5472          13.6408    
      21101         15343         11589.39     13.5472          13.6408    
      21169         15395         11619.46     13.5472          13.6408    
      21262         15466         11653.64     13.5472          13.6408    
      21360         15535         11683.79     13.5472          13.6408    
      21427         15582         11713.83     13.5472          13.6408    
      21495         15636         11743.89     13.5472          13.6408    
      21567         15692         11774.10     13.5472          13.6408    
      21663         15760         11804.34     13.5472          13.6408    
      21722         15806         11834.43     13.5472          13.6408    
      21786         15852         11864.60     13.5472          13.6408    
      21861         15902         11897.49     13.5472          13.6408    
      21957         15969         11927.50     13.5472          13.6408    
      21992         15996         11957.52     13.5472          13.6408    
      22063         16047         11997.50     13.5472          13.6408    
      22159         16117         12027.51     13.5472          13.6408    
      22208         16152         12057.70     13.5472          13.6408    
      22264         16194         12088.46     13.5472          13.6408    
      22361         16266         12118.46     13.5472          13.6408    
      22432         16318         12148.53     13.5472          13.6408    
      22505         16374         12178.79     13.5472          13.6408    
      22572         16422         12209.01     13.5472          13.6408    
      22663         16486         12247.25     13.5472          13.6408    
      22759         16555         12277.41     13.5472          13.6408    
      22812         16594         12307.56     13.5472          13.6408    
      22877         16641         12337.87     13.5472          13.6408    
      22958         16701         12381.76     13.5472          13.6408    
      23056         16775         12411.98     13.5472          13.6408    
      23091         16799         12442.00     13.5472          13.6408    
      23158         16847         12478.54     13.5472          13.6408    
      23257         16924         12508.71     13.5472          13.6408    
      23319         16977         12538.72     13.5472          13.6408    
      23395         17038         12568.92     13.5472          13.6408    
      23460         17086         12599.59     13.5472          13.6408    
      23556         17159         12629.84     13.5472          13.6408    
      23602         17191         12660.02     13.5472          13.6408    
      23653         17226         12696.77     13.5472          13.6408    
      23748         17290         12726.85     13.5472          13.6408    
      23814         17335         12757.19     13.5472          13.6408    
      23879         17371         12787.42     13.5472          13.6408    
      23952         17430         12828.35     13.5472          13.6408    
      24049         17498         12858.49     13.5472          13.6408    
      24102         17537         12888.55     13.5472          13.6408    
      24162         17579         12918.78     13.5472          13.6408    
      24250         17648         12957.70     13.5472          13.6408    
      24347         17714         12987.71     13.5472          13.6408    
      24385         17742         13017.96     13.5472          13.6408    
      24448         17792         13056.27     13.5472          13.6408    
      24545         17859         13086.47     13.5472          13.6408    
      24583         17888         13116.53     13.5472          13.6408    
      24648         17935         13151.96     13.5472          13.6408    
      24743         18007         13182.26     13.5472          13.6408    
      24803         18052         13212.48     13.5472          13.6408    
      24857         18092         13242.59     13.5472          13.6408    
      24945         18153         13289.15     13.5472          13.6408    
      25043+        18221         13344.41     13.5472          13.6408    
      25139         18291         13374.59     13.5472          13.6408    
      25219         18351         13404.60     13.5472          13.6408    
      25285         18403         13434.75     13.5472          13.6408    
      25349         18453         13464.81     13.5472          13.6408    
      25445         18520         13504.90     13.5472          13.6408    
      25543         18592         13535.04     13.5472          13.6408    
      25549         18596         13565.03     13.5472          13.6408    
      25648         18670         13608.21     13.5472          13.6408    
      25748         18744         13638.49     13.5472          13.6408    
      25801         18782         13668.54     13.5472          13.6408    
      25869         18828         13698.59     13.5472          13.6408    
      25947         18886         13730.32     13.5472          13.6408    
      26043         18960         13760.38     13.5472          13.6408    
      26103         19002         13790.53     13.5472          13.6408    
      26181         19056         13820.84     13.5472          13.6408    
      26248         19111         13856.07     13.5472          13.6408    
      26345         19174         13886.36     13.5472          13.6408    
      26364         19189         13916.51     13.5472          13.6408    
      26448         19251         13953.16     13.5472          13.6408    
      26543         19319         13983.25     13.5472          13.6408    
      26595         19357         14013.49     13.5472          13.6408    
      26648         19396         14048.00     13.5472          13.6408    
      26745         19468         14078.23     13.5472          13.6408    
      26808         19514         14108.24     13.5472          13.6408    
      26870         19557         14138.80     13.5472          13.6408    
      26943+        19606         14169.11     13.5472          13.6408    
      27037         19681         14199.41     13.5472          13.6408    
      27070         19703         14229.66     13.5472          13.6408    
      27141         19759         14260.56     13.5472          13.6408    
      27236         19828         14290.65     13.5472          13.6408    
      27311         19882         14320.75     13.5472          13.6408    
      27390         19937         14350.88     13.5472          13.6408    
      27448         19978         14380.95     13.5472          13.6408    
      27536+        20044         14421.16     13.5472          13.6408    
      27630         20114         14451.35     13.5472          13.6408    
      27697         20161         14481.46     13.5472          13.6408    
      27763         20209         14511.54     13.5472          13.6408    
      27838         20264         14542.77     13.5472          13.6408    
      27938         20340         14587.44     13.5472          13.6408    
      28034         20412         14617.73     13.5472          13.6408    
      28084         20448         14647.78     13.5472          13.6408    
      28136         20482         14678.06     13.5472          13.6408    
      28235         20557         14708.24     13.5472          13.6408    
      28303         20602         14738.28     13.5472          13.6408    
      28367         20649         14768.32     13.5472          13.6408    
      28436         20705         14803.12     13.5472          13.6408    
      28533         20772         14833.15     13.5472          13.6408    
      28582         20808         14863.32     13.5472          13.6408    
      28645         20855         14893.51     13.5472          13.6408    
      28736         20923         14937.03     13.5472          13.6408    
      28834         20990         14967.31     13.5472          13.6408    
      28886         21031         14997.61     13.5472          13.6408    
      28951         21076         15027.64     13.5472          13.6408    
      29036         21140         15067.38     13.5472          13.6408    
      29133         21210         15097.70     13.5472          13.6408    
      29207         21268         15127.86     13.5472          13.6408    
      29269         21309         15157.95     13.5472          13.6408    
      29341         21368         15188.13     13.5472          13.6408    
      29435+        21438         15218.37     13.5472          13.6408    
      29513         21493         15248.42     13.5472          13.6408    
      29584         21544         15278.50     13.5472          13.6408    
      29639         21580         15308.66     13.5472          13.6408    
      29733         21655         15351.48     13.5472          13.6408    
      29829         21721         15381.63     13.5472          13.6408    
      29852         21741         15411.66     13.5472          13.6408    
      29930+        21795         15448.09     13.5472          13.6408    
      30022         21863         15478.36     13.5472          13.6408    
      30086         21908         15508.46     13.5472          13.6408    
      30157         21960         15538.68     13.5472          13.6408    
      30219+        22006         15572.45     13.5472          13.6408    
      30312         22075         15602.69     13.5472          13.6408    
      30382         22125         15632.84     13.5472          13.6408    
      30461         22183         15663.03     13.5472          13.6408    
      30513         22221         15699.74     13.5472          13.6408    
      30610         22293         15729.86     13.5472          13.6408    
      30649         22321         15760.04     13.5472          13.6408    
      30713         22369         15790.28     13.5472          13.6408    
      30808+        22441         15827.13     13.5472          13.6408    
      30902         22507         15857.16     13.5472          13.6408    
      30971         22559         15887.39     13.5472          13.6408    
      31045         22616         15917.69     13.5472          13.6408    
      31121         22676         15948.00     13.5472          13.6408    
      31211+        22738         15978.32     13.5472          13.6408    
      31248         22765         16008.47     13.5472          13.6408    
      31311         22808         16041.67     13.5472          13.6408    
      31408         22878         16071.89     13.5472          13.6408    
      31467         22923         16102.03     13.5472          13.6408    
      31528         22963         16132.34     13.5472          13.6408    
      31611+        23028         16166.15     13.5472          13.6408    
      31706         23096         16196.20     13.5472          13.6408    
      31757         23133         16226.25     13.5472          13.6408    
      31828         23185         16256.47     13.5472          13.6408    
      31911         23246         16290.32     13.5472          13.6408    
      32004         23317         16320.41     13.5472          13.6408    
      32074         23364         16350.47     13.5472          13.6408    
      32132         23409         16380.51     13.5472          13.6408    
      32208         23459         16411.34     13.5472          13.6408    
      32304         23530         16441.48     13.5472          13.6408    
      32375         23580         16471.56     13.5472          13.6408    
      32444         23634         16501.72     13.5472          13.6408    
      32508         23682         16531.72     13.5472          13.6408    
      32604         23758         16561.79     13.5472          13.6408    
      32661         23802         16591.83     13.5472          13.6408    
      32710         23838         16622.08     13.5472          13.6408    
      32807         23917         16652.12     13.5472          13.6408    
      32847         23949         16682.24     13.5472          13.6408    
      32908         23995         16717.25     13.5472          13.6408    
      33005         24063         16747.31     13.5472          13.6408    
      33072         24111         16777.56     13.5472          13.6408    
      33137         24156         16807.84     13.5472          13.6408    
      33217         24209         16837.85     13.5472          13.6408    
      33304         24263         16873.37     13.5472          13.6408    
      33402         24329         16903.63     13.5472          13.6408    
      33442         24356         16933.65     13.5472          13.6408    
      33507         24403         16963.70     13.5472          13.6408    
      33601         24477         17001.66     13.5472          13.6408    
      33700         24545         17031.89     13.5472          13.6408    
      33747         24581         17061.89     13.5472          13.6408    
      33800         24619         17103.77     13.5472          13.6408    
      33897         24692         17133.86     13.5472          13.6408    
      33951         24734         17163.86     13.5472          13.6408    
      34021         24783         17194.12     13.5472          13.6408    
      34094         24834         17233.82     13.5472          13.6408    
      34189         24901         17263.96     13.5472          13.6408    
      34243         24940         17294.18     13.5472          13.6408    
      34308         24991         17324.39     13.5472          13.6408    
      34394         25053         17361.25     13.5472          13.6408    
      34490         25125         17391.45     13.5472          13.6408    
      34563         25181         17421.73     13.5472          13.6408    
      34612         25219         17451.85     13.5472          13.6408    
      34694         25282         17484.28     13.5472          13.6408    
      34790         25347         17514.36     13.5472          13.6408    
      34847         25382         17544.46     13.5472          13.6408    
      34904         25428         17574.69     13.5472          13.6408    
      34994         25494         17611.08     13.5472          13.6408    
      35089         25564         17641.32     13.5472          13.6408    
      35150         25605         17671.50     13.5472          13.6408    
      35218         25657         17701.63     13.5472          13.6408    
      35292+        25713         17732.40     13.5472          13.6408    
      35344         25747         17762.52     13.5472          13.6408    
      35394         25788         17795.93     13.5472          13.6408    
      35491         25864         17826.22     13.5472          13.6408    
      35559         25914         17856.27     13.5472          13.6408    
      35620         25956         17886.35     13.5472          13.6408    
      35694+        26005         17919.73     13.5472          13.6408    
      35787         26074         17949.75     13.5472          13.6408    
      35853         26124         17979.76     13.5472          13.6408    
      35921         26174         18010.09     13.5472          13.6408    
      35995         26224         18043.81     13.5472          13.6408    
      36091         26295         18074.02     13.5472          13.6408    
      36138         26329         18104.11     13.5472          13.6408    
      36196         26376         18137.15     13.5472          13.6408    
      36294         26450         18176.10     13.5472          13.6408    
      36392         26519         18206.31     13.5472          13.6408    
      36454         26559         18236.39     13.5472          13.6408    
      36497         26592         18266.54     13.5472          13.6408    
      36594         26661         18315.43     13.5472          13.6408    
